Date;ID;Value;Value_raw;SGU_ID
2018-09-17;obj_2U;14.03094;14.03094;179_2
2018-09-18;obj_2U;14.031845;14.031845;179_2
2018-09-19;obj_2U;14.01969;14.01969;179_2
2018-09-20;obj_2U;14.03127;14.03127;179_2
2018-09-21;obj_2U;14.02769;14.02769;179_2
2018-09-22;obj_2U;14.02594;14.02594;179_2
2018-09-23;obj_2U;14.02594;14.02594;179_2
2018-09-24;obj_2U;14.02227;14.02227;179_2
2018-09-25;obj_2U;14.00397;14.00397;179_2
2018-09-26;obj_2U;13.998;13.998;179_2
2018-09-27;obj_2U;13.988;13.988;179_2
2018-09-28;obj_2U;13.988;13.988;179_2
2018-09-29;obj_2U;13.968;13.968;179_2
2018-09-30;obj_2U;13.968;13.968;179_2
2018-10-01;obj_2U;13.968;13.968;179_2
2018-10-02;obj_2U;13.968;13.968;179_2
2018-10-03;obj_2U;13.968;13.968;179_2
2018-10-04;obj_2U;13.978;13.978;179_2
2018-10-05;obj_2U;13.988;13.988;179_2
2018-10-06;obj_2U;13.998;13.998;179_2
2018-10-07;obj_2U;14.008;14.008;179_2
2018-10-08;obj_2U;14.028;14.028;179_2
2018-10-09;obj_2U;14.048;14.048;179_2
2018-10-10;obj_2U;14.058;14.058;179_2
2018-10-11;obj_2U;14.068;14.068;179_2
2018-10-12;obj_2U;14.058;14.058;179_2
2018-10-13;obj_2U;14.058;14.058;179_2
2018-10-14;obj_2U;14.058;14.058;179_2
2018-10-15;obj_2U;14.048;14.048;179_2
2018-10-17;obj_2U;;;179_2
2018-10-18;obj_2U;14.018;14.018;179_2
2018-10-19;obj_2U;14.018;14.018;179_2
2018-10-20;obj_2U;13.998;13.998;179_2
2018-10-21;obj_2U;13.998;13.998;179_2
2018-10-22;obj_2U;13.998;13.998;179_2
2018-10-23;obj_2U;14.008;14.008;179_2
2018-10-24;obj_2U;13.998;13.998;179_2
2018-10-25;obj_2U;14.008;14.008;179_2
2018-10-26;obj_2U;13.998;13.998;179_2
2018-10-27;obj_2U;14.018;14.018;179_2
2018-10-28;obj_2U;14.018;14.018;179_2
2018-10-29;obj_2U;14.038;14.038;179_2
2018-10-30;obj_2U;14.068;14.068;179_2
2018-10-31;obj_2U;14.058;14.058;179_2
2018-11-01;obj_2U;14.068;14.068;179_2
2018-11-02;obj_2U;14.078;14.078;179_2
2018-11-03;obj_2U;14.068;14.068;179_2
2018-11-04;obj_2U;14.078;14.078;179_2
2018-11-05;obj_2U;14.088;14.088;179_2
2018-11-06;obj_2U;14.088;14.088;179_2
2018-11-07;obj_2U;14.088;14.088;179_2
2018-11-08;obj_2U;14.078;14.078;179_2
2018-11-09;obj_2U;14.058;14.058;179_2
2018-11-10;obj_2U;14.068;14.068;179_2
2018-11-11;obj_2U;14.078;14.078;179_2
2018-11-12;obj_2U;14.118;14.118;179_2
2018-11-13;obj_2U;14.138;14.138;179_2
2018-11-14;obj_2U;14.128;14.128;179_2
2018-11-15;obj_2U;14.118;14.118;179_2
2018-11-16;obj_2U;14.118;14.118;179_2
2018-11-17;obj_2U;14.108;14.108;179_2
2018-11-18;obj_2U;14.108;14.108;179_2
2018-11-19;obj_2U;14.128;14.128;179_2
2018-11-20;obj_2U;14.128;14.128;179_2
2018-11-21;obj_2U;14.128;14.128;179_2
2018-11-22;obj_2U;14.118;14.118;179_2
2018-11-23;obj_2U;14.098;14.098;179_2
2018-11-24;obj_2U;14.098;14.098;179_2
2018-11-25;obj_2U;14.098;14.098;179_2
2018-11-26;obj_2U;14.088;14.088;179_2
2018-11-27;obj_2U;14.088;14.088;179_2
2018-11-28;obj_2U;14.068;14.068;179_2
2018-11-29;obj_2U;14.068;14.068;179_2
2018-11-30;obj_2U;14.078;14.078;179_2
2018-12-01;obj_2U;14.078;14.078;179_2
2018-12-02;obj_2U;14.088;14.088;179_2
2018-12-03;obj_2U;14.148;14.148;179_2
2018-12-04;obj_2U;14.148;14.148;179_2
2018-12-05;obj_2U;14.148;14.148;179_2
2018-12-06;obj_2U;14.158;14.158;179_2
2018-12-07;obj_2U;14.178;14.178;179_2
2018-12-08;obj_2U;14.198;14.198;179_2
2018-12-09;obj_2U;14.228;14.228;179_2
2018-12-10;obj_2U;14.238;14.238;179_2
2018-12-11;obj_2U;14.218;14.218;179_2
2018-12-12;obj_2U;14.208;14.208;179_2
2018-12-13;obj_2U;14.208;14.208;179_2
2018-12-14;obj_2U;14.198;14.198;179_2
2018-12-15;obj_2U;14.178;14.178;179_2
2018-12-16;obj_2U;14.178;14.178;179_2
2018-12-17;obj_2U;14.188;14.188;179_2
2018-12-18;obj_2U;;;179_2
2018-12-19;obj_2U;14.158;14.158;179_2
2018-12-20;obj_2U;14.158;14.158;179_2
2018-12-21;obj_2U;14.148;14.148;179_2
2018-12-22;obj_2U;14.148;14.148;179_2
2018-12-23;obj_2U;14.128;14.128;179_2
2018-12-24;obj_2U;14.118;14.118;179_2
2018-12-25;obj_2U;14.108;14.108;179_2
2018-12-26;obj_2U;14.108;14.108;179_2
2018-12-27;obj_2U;14.088;14.088;179_2
2018-12-28;obj_2U;14.088;14.088;179_2
2018-12-29;obj_2U;14.078;14.078;179_2
2018-12-30;obj_2U;14.068;14.068;179_2
2018-12-31;obj_2U;14.068;14.068;179_2
2019-01-01;obj_2U;14.068;14.068;179_2
2019-01-02;obj_2U;14.078;14.078;179_2
2019-01-03;obj_2U;14.058;14.058;179_2
2019-01-04;obj_2U;14.058;14.058;179_2
2019-01-05;obj_2U;14.048;14.048;179_2
2019-01-06;obj_2U;14.038;14.038;179_2
2019-01-07;obj_2U;14.048;14.048;179_2
2019-01-08;obj_2U;14.088;14.088;179_2
2019-01-09;obj_2U;14.118;14.118;179_2
2019-01-10;obj_2U;14.118;14.118;179_2
2019-01-11;obj_2U;14.138;14.138;179_2
2019-01-12;obj_2U;14.138;14.138;179_2
2019-01-13;obj_2U;14.158;14.158;179_2
2019-01-14;obj_2U;14.188;14.188;179_2
2019-01-15;obj_2U;14.188;14.188;179_2
2019-01-16;obj_2U;14.188;14.188;179_2
2019-01-17;obj_2U;14.218;14.218;179_2
2019-01-18;obj_2U;14.208;14.208;179_2
2019-01-19;obj_2U;14.198;14.198;179_2
2019-01-20;obj_2U;14.208;14.208;179_2
2019-01-21;obj_2U;14.198;14.198;179_2
2019-01-22;obj_2U;14.198;14.198;179_2
2019-01-23;obj_2U;14.198;14.198;179_2
2019-01-24;obj_2U;14.188;14.188;179_2
2019-01-25;obj_2U;14.158;14.158;179_2
2019-01-26;obj_2U;14.168;14.168;179_2
2019-01-27;obj_2U;14.168;14.168;179_2
2019-01-28;obj_2U;14.178;14.178;179_2
2019-01-29;obj_2U;14.158;14.158;179_2
2019-01-30;obj_2U;14.148;14.148;179_2
2019-01-31;obj_2U;14.128;14.128;179_2
2019-02-01;obj_2U;14.118;14.118;179_2
2019-02-02;obj_2U;14.118;14.118;179_2
2019-02-03;obj_2U;14.108;14.108;179_2
2019-02-04;obj_2U;14.088;14.088;179_2
2019-02-05;obj_2U;14.118;14.118;179_2
2019-02-06;obj_2U;14.168;14.168;179_2
2019-02-07;obj_2U;14.208;14.208;179_2
2019-02-08;obj_2U;14.268;14.268;179_2
2019-02-09;obj_2U;14.318;14.318;179_2
2019-02-10;obj_2U;14.298;14.298;179_2
2019-02-11;obj_2U;14.318;14.318;179_2
2019-02-12;obj_2U;14.288;14.288;179_2
2019-02-13;obj_2U;14.288;14.288;179_2
2019-02-14;obj_2U;14.278;14.278;179_2
2019-02-15;obj_2U;14.268;14.268;179_2
2019-02-16;obj_2U;14.268;14.268;179_2
2019-02-17;obj_2U;14.268;14.268;179_2
2019-02-18;obj_2U;14.258;14.258;179_2
2019-02-19;obj_2U;14.258;14.258;179_2
2019-02-20;obj_2U;14.258;14.258;179_2
2019-02-21;obj_2U;14.248;14.248;179_2
2019-02-22;obj_2U;14.278;14.278;179_2
2019-02-23;obj_2U;14.278;14.278;179_2
2019-02-24;obj_2U;14.278;14.278;179_2
2019-02-25;obj_2U;14.288;14.288;179_2
2019-02-26;obj_2U;14.278;14.278;179_2
2019-02-27;obj_2U;14.268;14.268;179_2
2019-02-28;obj_2U;14.278;14.278;179_2
2019-03-01;obj_2U;14.278;14.278;179_2
2019-03-02;obj_2U;14.248;14.248;179_2
2019-03-03;obj_2U;14.248;14.248;179_2
2019-03-04;obj_2U;14.268;14.268;179_2
2019-03-05;obj_2U;14.298;14.298;179_2
2019-03-06;obj_2U;14.308;14.308;179_2
2019-03-07;obj_2U;14.348;14.348;179_2
2019-03-08;obj_2U;14.388;14.388;179_2
2019-03-09;obj_2U;14.378;14.378;179_2
2019-03-10;obj_2U;14.388;14.388;179_2
2019-03-11;obj_2U;14.388;14.388;179_2
2019-03-12;obj_2U;14.368;14.368;179_2
2019-03-13;obj_2U;14.408;14.408;179_2
2019-03-14;obj_2U;14.428;14.428;179_2
2019-03-15;obj_2U;14.418;14.418;179_2
2019-03-16;obj_2U;14.418;14.418;179_2
2019-03-17;obj_2U;14.428;14.428;179_2
2019-03-18;obj_2U;14.438;14.438;179_2
2019-03-19;obj_2U;14.408;14.408;179_2
2019-03-20;obj_2U;14.408;14.408;179_2
2019-03-21;obj_2U;14.398;14.398;179_2
2019-03-22;obj_2U;14.373;14.373;179_2
2019-03-23;obj_2U;14.358;14.358;179_2
2019-03-24;obj_2U;14.348;14.348;179_2
2019-03-25;obj_2U;14.368;14.368;179_2
2019-03-26;obj_2U;14.338;14.338;179_2
2019-03-27;obj_2U;14.328;14.328;179_2
2019-03-28;obj_2U;14.318;14.318;179_2
2019-03-29;obj_2U;14.298;14.298;179_2
2019-03-30;obj_2U;14.238;14.238;179_2
2019-03-31;obj_2U;14.238;14.238;179_2
2019-04-01;obj_2U;14.238;14.238;179_2
2019-04-02;obj_2U;14.228;14.228;179_2
2019-04-03;obj_2U;14.228;14.228;179_2
2019-04-04;obj_2U;14.218;14.218;179_2
2019-04-05;obj_2U;14.208;14.208;179_2
2019-04-06;obj_2U;14.188;14.188;179_2
2019-04-07;obj_2U;14.198;14.198;179_2
2019-04-08;obj_2U;14.178;14.178;179_2
2019-04-09;obj_2U;14.168;14.168;179_2
2019-04-10;obj_2U;14.168;14.168;179_2
2019-04-11;obj_2U;14.148;14.148;179_2
2019-04-12;obj_2U;14.138;14.138;179_2
2019-04-13;obj_2U;14.138;14.138;179_2
2019-04-14;obj_2U;14.118;14.118;179_2
2019-04-15;obj_2U;14.113;14.113;179_2
2019-04-16;obj_2U;14.098;14.098;179_2
2019-04-17;obj_2U;14.138;14.138;179_2
2019-04-18;obj_2U;14.128;14.128;179_2
2019-04-19;obj_2U;14.128;14.128;179_2
2019-04-20;obj_2U;14.128;14.128;179_2
2019-04-21;obj_2U;14.168;14.168;179_2
2019-04-22;obj_2U;14.168;14.168;179_2
2019-04-23;obj_2U;14.138;14.138;179_2
2019-04-24;obj_2U;14.138;14.138;179_2
2019-04-25;obj_2U;14.118;14.118;179_2
2019-04-26;obj_2U;14.108;14.108;179_2
2019-04-27;obj_2U;14.098;14.098;179_2
2019-04-28;obj_2U;14.108;14.108;179_2
2019-04-29;obj_2U;14.148;14.148;179_2
2019-04-30;obj_2U;14.138;14.138;179_2
2019-05-01;obj_2U;14.138;14.138;179_2
2019-05-02;obj_2U;14.148;14.148;179_2
2019-05-03;obj_2U;14.148;14.148;179_2
2019-05-04;obj_2U;14.148;14.148;179_2
2019-05-05;obj_2U;14.138;14.138;179_2
2019-05-06;obj_2U;14.148;14.148;179_2
2019-05-07;obj_2U;14.138;14.138;179_2
2019-05-08;obj_2U;14.128;14.128;179_2
2019-05-09;obj_2U;14.148;14.148;179_2
2019-05-10;obj_2U;14.138;14.138;179_2
2019-05-11;obj_2U;14.128;14.128;179_2
2019-05-12;obj_2U;14.108;14.108;179_2
2019-05-13;obj_2U;14.098;14.098;179_2
2019-05-14;obj_2U;14.093;14.093;179_2
2019-05-15;obj_2U;14.078;14.078;179_2
2019-05-16;obj_2U;14.108;14.108;179_2
2019-05-17;obj_2U;14.098;14.098;179_2
2019-05-18;obj_2U;14.108;14.108;179_2
2019-05-19;obj_2U;14.108;14.108;179_2
2019-05-20;obj_2U;14.118;14.118;179_2
2019-05-21;obj_2U;14.118;14.118;179_2
2019-05-22;obj_2U;14.098;14.098;179_2
2019-05-23;obj_2U;14.098;14.098;179_2
2019-05-24;obj_2U;14.118;14.118;179_2
2019-05-25;obj_2U;14.1255;14.1255;179_2
2019-05-26;obj_2U;14.1363;14.1363;179_2
2019-05-27;obj_2U;14.1392;14.1392;179_2
2019-05-28;obj_2U;14.1188;14.1188;179_2
2019-05-29;obj_2U;14.1299;14.1299;179_2
2019-05-30;obj_2U;14.1265;14.1265;179_2
2019-05-31;obj_2U;14.139;14.139;179_2
2019-06-01;obj_2U;14.1476;14.1476;179_2
2019-06-02;obj_2U;14.1395;14.1395;179_2
2019-06-03;obj_2U;14.1453;14.1453;179_2
2019-06-04;obj_2U;14.1416;14.1416;179_2
2019-06-05;obj_2U;14.143;14.143;179_2
2019-06-06;obj_2U;14.1374;14.1374;179_2
2019-06-07;obj_2U;14.1066;14.1066;179_2
2019-06-08;obj_2U;14.0939;14.0939;179_2
2019-06-09;obj_2U;14.1037;14.1037;179_2
2019-06-10;obj_2U;14.0859;14.0859;179_2
2019-06-11;obj_2U;14.108;14.108;179_2
2019-06-12;obj_2U;14.108;14.108;179_2
2019-06-13;obj_2U;14.118;14.118;179_2
2019-06-14;obj_2U;14.118;14.118;179_2
2019-06-15;obj_2U;14.108;14.108;179_2
2019-06-16;obj_2U;14.108;14.108;179_2
2019-06-17;obj_2U;14.108;14.108;179_2
2019-06-18;obj_2U;14.098;14.098;179_2
2019-06-19;obj_2U;14.108;14.108;179_2
2019-06-20;obj_2U;14.098;14.098;179_2
2019-06-21;obj_2U;14.088;14.088;179_2
2019-06-22;obj_2U;14.078;14.078;179_2
2019-06-23;obj_2U;14.068;14.068;179_2
2019-06-24;obj_2U;14.068;14.068;179_2
2019-06-25;obj_2U;14.058;14.058;179_2
2019-06-26;obj_2U;14.058;14.058;179_2
2019-06-27;obj_2U;14.058;14.058;179_2
2019-06-28;obj_2U;14.038;14.038;179_2
2019-06-29;obj_2U;14.008;14.008;179_2
2019-06-30;obj_2U;14.008;14.008;179_2
2019-07-01;obj_2U;14.018;14.018;179_2
2019-07-02;obj_2U;14.018;14.018;179_2
2019-07-03;obj_2U;14.008;14.008;179_2
2019-07-04;obj_2U;14.008;14.008;179_2
2019-07-05;obj_2U;14.008;14.008;179_2
2019-07-06;obj_2U;14.008;14.008;179_2
2019-07-07;obj_2U;14.008;14.008;179_2
2019-07-08;obj_2U;14.008;14.008;179_2
2019-07-09;obj_2U;13.973;13.973;179_2
2019-07-10;obj_2U;;;179_2
2019-07-11;obj_2U;;;179_2
2019-07-12;obj_2U;;;179_2
2019-07-13;obj_2U;;;179_2
2019-07-14;obj_2U;;;179_2
2019-07-15;obj_2U;;;179_2
2019-07-16;obj_2U;;;179_2
2019-07-17;obj_2U;;;179_2
2019-07-18;obj_2U;;;179_2
2019-07-19;obj_2U;;;179_2
2019-07-20;obj_2U;;;179_2
2019-07-21;obj_2U;;;179_2
2019-07-22;obj_2U;13.868;13.868;179_2
2019-07-23;obj_2U;;;179_2
2019-07-24;obj_2U;;;179_2
2019-07-25;obj_2U;13.868;13.868;179_2
2019-07-26;obj_2U;;;179_2
2019-07-27;obj_2U;;;179_2
2019-07-28;obj_2U;;;179_2
2019-07-29;obj_2U;;;179_2
2019-07-30;obj_2U;;;179_2
2019-07-31;obj_2U;;;179_2
2019-08-01;obj_2U;;;179_2
2019-08-02;obj_2U;13.828;13.828;179_2
2019-08-03;obj_2U;;;179_2
2019-08-04;obj_2U;;;179_2
2019-08-05;obj_2U;;;179_2
2019-08-06;obj_2U;;;179_2
2019-08-07;obj_2U;;;179_2
2019-08-08;obj_2U;13.888;13.888;179_2
2019-08-09;obj_2U;;;179_2
2019-08-10;obj_2U;;;179_2
2019-08-11;obj_2U;;;179_2
2019-08-12;obj_2U;;;179_2
2019-08-13;obj_2U;;;179_2
2019-08-14;obj_2U;13.988;13.988;179_2
2019-08-15;obj_2U;;;179_2
2019-08-16;obj_2U;;;179_2
2019-08-17;obj_2U;;;179_2
2019-08-18;obj_2U;;;179_2
2019-08-19;obj_2U;;;179_2
2019-08-20;obj_2U;;;179_2
2019-08-21;obj_2U;;;179_2
2019-08-22;obj_2U;;;179_2
2019-08-23;obj_2U;;;179_2
2019-08-24;obj_2U;;;179_2
2019-08-25;obj_2U;;;179_2
2019-08-26;obj_2U;;;179_2
2019-08-27;obj_2U;13.998;13.998;179_2
2019-08-28;obj_2U;;;179_2
2019-08-29;obj_2U;;;179_2
2019-08-30;obj_2U;;;179_2
2019-08-31;obj_2U;;;179_2
2019-09-01;obj_2U;;;179_2
2019-09-02;obj_2U;;;179_2
2019-09-03;obj_2U;;;179_2
2019-09-04;obj_2U;13.958;13.958;179_2
2019-09-05;obj_2U;13.988;13.988;179_2
2019-09-06;obj_2U;;;179_2
2019-09-07;obj_2U;;;179_2
2019-09-08;obj_2U;;;179_2
2019-09-09;obj_2U;;;179_2
2019-09-10;obj_2U;;;179_2
2019-09-11;obj_2U;14.008;14.008;179_2
2019-09-12;obj_2U;;;179_2
2019-09-13;obj_2U;;;179_2
2019-09-14;obj_2U;;;179_2
2019-09-15;obj_2U;;;179_2
2019-09-16;obj_2U;14.068;14.068;179_2
2019-09-17;obj_2U;;;179_2
2019-09-18;obj_2U;;;179_2
2019-09-19;obj_2U;;;179_2
2019-09-20;obj_2U;;;179_2
2019-09-21;obj_2U;;;179_2
2019-09-22;obj_2U;;;179_2
2019-09-23;obj_2U;;;179_2
2019-09-24;obj_2U;13.988;13.988;179_2
2019-09-25;obj_2U;13.988;13.988;179_2
2019-09-26;obj_2U;;;179_2
2019-09-27;obj_2U;;;179_2
2019-09-28;obj_2U;;;179_2
2019-09-29;obj_2U;;;179_2
2019-09-30;obj_2U;;;179_2
2019-10-01;obj_2U;;;179_2
2019-10-02;obj_2U;;;179_2
2019-10-03;obj_2U;14.088;14.088;179_2
2019-10-04;obj_2U;;;179_2
2019-10-05;obj_2U;;;179_2
2019-10-06;obj_2U;;;179_2
2019-10-07;obj_2U;;;179_2
2019-10-08;obj_2U;;;179_2
2019-10-09;obj_2U;;;179_2
2019-10-10;obj_2U;;;179_2
2019-10-11;obj_2U;;;179_2
2019-10-12;obj_2U;;;179_2
2019-10-13;obj_2U;;;179_2
2019-10-14;obj_2U;;;179_2
2019-10-15;obj_2U;;;179_2
2019-10-16;obj_2U;;;179_2
2019-10-17;obj_2U;;;179_2
2019-10-18;obj_2U;;;179_2
2019-10-19;obj_2U;;;179_2
2019-10-20;obj_2U;;;179_2
2019-10-21;obj_2U;14.218;14.218;179_2
2019-10-22;obj_2U;14.228;14.228;179_2
2019-10-23;obj_2U;14.228;14.228;179_2
2019-10-24;obj_2U;14.228;14.228;179_2
2019-10-25;obj_2U;14.228;14.228;179_2
2019-10-26;obj_2U;14.238;14.238;179_2
2019-10-27;obj_2U;14.278;14.278;179_2
2019-10-28;obj_2U;14.288;14.288;179_2
2019-10-29;obj_2U;14.298;14.298;179_2
2019-10-30;obj_2U;14.288;14.288;179_2
2019-10-31;obj_2U;14.298;14.298;179_2
2019-11-01;obj_2U;14.288;14.288;179_2
2019-11-02;obj_2U;14.278;14.278;179_2
2019-11-03;obj_2U;14.288;14.288;179_2
2019-11-04;obj_2U;14.288;14.288;179_2
2019-11-05;obj_2U;14.288;14.288;179_2
2019-11-06;obj_2U;14.288;14.288;179_2
2019-11-07;obj_2U;14.288;14.288;179_2
2019-11-08;obj_2U;14.278;14.278;179_2
2019-11-09;obj_2U;14.278;14.278;179_2
2019-11-10;obj_2U;14.278;14.278;179_2
2019-11-11;obj_2U;;;179_2
2019-11-12;obj_2U;;;179_2
2019-11-13;obj_2U;14.238;14.238;179_2
2019-11-14;obj_2U;;;179_2
2019-11-15;obj_2U;;;179_2
2019-11-16;obj_2U;;;179_2
2019-11-17;obj_2U;;;179_2
2019-11-18;obj_2U;;;179_2
2019-11-19;obj_2U;;;179_2
2019-11-20;obj_2U;;;179_2
2019-11-21;obj_2U;;;179_2
2019-11-22;obj_2U;;;179_2
2019-11-23;obj_2U;;;179_2
2019-11-24;obj_2U;;;179_2
2019-11-25;obj_2U;;;179_2
2019-11-26;obj_2U;;;179_2
2019-11-27;obj_2U;;;179_2
2019-11-28;obj_2U;;;179_2
2019-11-29;obj_2U;;;179_2
2019-11-30;obj_2U;;;179_2
2019-12-01;obj_2U;;;179_2
2019-12-02;obj_2U;;;179_2
2019-12-03;obj_2U;14.238;14.238;179_2
2019-12-04;obj_2U;;;179_2
2019-12-05;obj_2U;;;179_2
2019-12-06;obj_2U;;;179_2
2019-12-07;obj_2U;;;179_2
2019-12-08;obj_2U;;;179_2
2019-12-09;obj_2U;;;179_2
2019-12-10;obj_2U;;;179_2
2019-12-11;obj_2U;;;179_2
2019-12-12;obj_2U;;;179_2
2019-12-13;obj_2U;;;179_2
2019-12-14;obj_2U;;;179_2
2019-12-15;obj_2U;;;179_2
2019-12-16;obj_2U;;;179_2
2019-12-17;obj_2U;;;179_2
2019-12-18;obj_2U;;;179_2
2019-12-19;obj_2U;;;179_2
2019-12-20;obj_2U;;;179_2
2019-12-21;obj_2U;;;179_2
2019-12-22;obj_2U;;;179_2
2019-12-23;obj_2U;;;179_2
2019-12-24;obj_2U;;;179_2
2019-12-25;obj_2U;;;179_2
2019-12-26;obj_2U;;;179_2
2019-12-27;obj_2U;;;179_2
2019-12-28;obj_2U;;;179_2
2019-12-29;obj_2U;;;179_2
2019-12-30;obj_2U;;;179_2
2019-12-31;obj_2U;;;179_2
2020-01-01;obj_2U;;;179_2
2020-01-02;obj_2U;;;179_2
2020-01-03;obj_2U;;;179_2
2020-01-04;obj_2U;;;179_2
2020-01-05;obj_2U;;;179_2
2020-01-06;obj_2U;;;179_2
2020-01-07;obj_2U;;;179_2
2020-01-08;obj_2U;;;179_2
2020-01-09;obj_2U;14.198;14.198;179_2
2020-01-10;obj_2U;;;179_2
2020-01-11;obj_2U;;;179_2
2020-01-12;obj_2U;;;179_2
2020-01-13;obj_2U;;;179_2
2020-01-14;obj_2U;;;179_2
2020-01-15;obj_2U;;;179_2
2020-01-16;obj_2U;;;179_2
2020-01-17;obj_2U;;;179_2
2020-01-18;obj_2U;;;179_2
2020-01-19;obj_2U;;;179_2
2020-01-20;obj_2U;;;179_2
2020-01-21;obj_2U;;;179_2
2020-01-22;obj_2U;;;179_2
2020-01-23;obj_2U;;;179_2
2020-01-24;obj_2U;;;179_2
2020-01-25;obj_2U;;;179_2
2020-01-26;obj_2U;;;179_2
2020-01-27;obj_2U;;;179_2
2020-01-28;obj_2U;;;179_2
2020-01-29;obj_2U;;;179_2
2020-01-30;obj_2U;;;179_2
2020-01-31;obj_2U;;;179_2
2020-02-01;obj_2U;;;179_2
2020-02-02;obj_2U;;;179_2
2020-02-03;obj_2U;;;179_2
2020-02-04;obj_2U;;;179_2
2020-02-05;obj_2U;;;179_2
2020-02-06;obj_2U;;;179_2
2020-02-07;obj_2U;;;179_2
2020-02-08;obj_2U;;;179_2
2020-02-09;obj_2U;;;179_2
2020-02-10;obj_2U;;;179_2
2020-02-11;obj_2U;;;179_2
2020-02-12;obj_2U;;;179_2
2020-02-13;obj_2U;14.338;14.338;179_2
2020-02-14;obj_2U;;;179_2
2020-02-15;obj_2U;;;179_2
2020-02-16;obj_2U;;;179_2
2020-02-17;obj_2U;;;179_2
2020-02-18;obj_2U;;;179_2
2020-02-19;obj_2U;;;179_2
2020-02-20;obj_2U;;;179_2
2020-02-21;obj_2U;;;179_2
2020-02-22;obj_2U;;;179_2
2020-02-23;obj_2U;;;179_2
2020-02-24;obj_2U;;;179_2
2020-02-25;obj_2U;;;179_2
2020-02-26;obj_2U;;;179_2
2020-02-27;obj_2U;;;179_2
2020-02-28;obj_2U;;;179_2
2020-02-29;obj_2U;;;179_2
2020-03-01;obj_2U;;;179_2
2020-03-02;obj_2U;;;179_2
2020-03-03;obj_2U;;;179_2
2020-03-04;obj_2U;;;179_2
2020-03-05;obj_2U;;;179_2
2020-03-06;obj_2U;;;179_2
2020-03-07;obj_2U;;;179_2
2020-03-08;obj_2U;;;179_2
2020-03-09;obj_2U;14.298;14.298;179_2
2020-03-10;obj_2U;;;179_2
2020-03-11;obj_2U;;;179_2
2020-03-12;obj_2U;;;179_2
2020-03-13;obj_2U;;;179_2
2020-03-14;obj_2U;;;179_2
2020-03-15;obj_2U;;;179_2
2020-03-16;obj_2U;;;179_2
2020-03-17;obj_2U;;;179_2
2020-03-18;obj_2U;;;179_2
2020-03-19;obj_2U;;;179_2
2020-03-20;obj_2U;;;179_2
2020-03-21;obj_2U;;;179_2
2020-03-22;obj_2U;;;179_2
2020-03-23;obj_2U;;;179_2
2020-03-24;obj_2U;;;179_2
